Time_Sec,UTC,Latitude,Longitude,Smoothed_Latitude,Smoothed_Longitude,UTM_X,UTM_Y,UTM_Z,Smoothed_UTM_X,Smoothed_UTM_Y,Yaw_Deg,Target_WP_Index,Target_WP_X,Target_WP_Y,Target_Latitude,Target_Longitude,Command_V,Command_W,Left_RPM,Right_RPM,Actual_Left_RPM,Actual_Right_RPM,Left_DAC,Right_DAC,RTK_Fix_Status
0.645,064054.60,10.48525700,76.44417900,10.48525700,76.44417900,658050.468,1159427.380,108.00,658050.468,1159427.380,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,-0.000,10.0,10.0,0.0,0.0,450,450,RTK FIXED
0.679,064054.60,10.48525700,76.44417900,10.48525700,76.44417900,658050.468,1159427.380,108.00,658050.468,1159427.380,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,-0.000,10.0,10.0,0.0,0.0,900,900,RTK FIXED
0.733,064054.60,10.48525700,76.44417900,10.48525700,76.44417900,658050.468,1159427.380,108.00,658050.468,1159427.380,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,-0.000,10.0,10.0,0.0,0.0,1350,1350,RTK FIXED
0.780,064054.80,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.472,1159427.373,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.002,10.0,10.0,0.0,0.0,1800,1800,RTK FIXED
0.833,064054.80,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.475,1159427.368,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.002,10.0,10.0,0.0,0.0,2040,2047,RTK FIXED
0.879,064054.80,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.476,1159427.365,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.002,10.0,10.0,-0.5,0.0,2040,2047,RTK FIXED
0.934,064055.00,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.477,1159427.363,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.003,9.9,10.0,0.0,0.0,2036,2047,RTK FIXED
0.979,064055.00,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.478,1159427.362,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.003,9.9,10.0,0.0,0.0,2036,2047,RTK FIXED
1.033,064055.00,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.478,1159427.362,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.003,9.9,10.0,0.0,0.5,2036,2047,RTK FIXED
1.080,064055.20,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.478,1159427.362,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.004,9.9,10.0,0.0,1.6,2033,2047,RTK FIXED
1.133,064055.20,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.478,1159427.361,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.004,9.9,10.0,0.5,1.9,2033,2047,RTK FIXED
1.187,064055.20,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.479,1159427.361,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.004,9.9,10.0,0.0,2.8,2033,2047,RTK FIXED
1.232,064055.20,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.479,1159427.361,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.004,9.9,10.0,0.0,2.8,2033,2047,RTK FIXED
1.287,064055.20,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.479,1159427.361,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.004,9.9,10.0,0.0,3.7,2033,2047,RTK FIXED
1.333,064055.20,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.479,1159427.361,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.004,9.9,10.0,-0.5,4.8,2033,2047,RTK FIXED
1.388,064055.40,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.479,1159427.361,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.005,9.9,10.0,0.0,5.5,2032,2047,RTK FIXED
1.433,064055.40,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.479,1159427.361,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.005,9.9,10.0,0.0,6.5,2032,2047,RTK FIXED
1.487,064055.40,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.479,1159427.361,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.005,9.9,10.0,0.0,5.1,2032,2047,RTK FIXED
1.534,064055.40,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.479,1159427.361,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.005,9.9,10.0,0.0,6.0,2032,2047,RTK FIXED
1.588,064055.60,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.479,1159427.361,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.005,9.9,10.0,0.5,6.4,2030,2047,RTK FIXED
1.633,064055.60,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.479,1159427.361,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.005,9.9,10.0,-0.5,7.1,2030,2047,RTK FIXED
1.688,064055.60,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.479,1159427.361,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.005,9.9,10.0,0.0,9.2,2030,2047,RTK FIXED
1.736,064055.60,10.48525700,76.44417900,10.48525700,76.44417900,658050.479,1159427.361,108.00,658050.479,1159427.361,32.8,1,658051.686,1159428.165,10.48526250,76.44418717,0.366,0.005,9.9,10.0,0.5,9.7,2030,2047,RTK FIXED
