Time_Sec,UTC,Latitude,Longitude,Smoothed_Latitude,Smoothed_Longitude,UTM_X,UTM_Y,UTM_Z,Smoothed_UTM_X,Smoothed_UTM_Y,Yaw_Deg,Target_WP_Index,Target_WP_X,Target_WP_Y,Target_Latitude,Target_Longitude,Command_V,Command_W,Left_RPM,Right_RPM,Actual_Left_RPM,Actual_Right_RPM,Left_DAC,Right_DAC,RTK_Fix_Status
0.026,070957.20,10.48525100,76.44418800,10.48525100,76.44418800,658051.968,1159426.573,108.30,658051.968,1159426.573,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.069,070957.40,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.940,1159426.561,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.003,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.122,070957.40,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.924,1159426.553,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.003,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.168,070957.40,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.914,1159426.549,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.003,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.222,070957.40,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.908,1159426.546,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.003,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.276,070957.40,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.904,1159426.545,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.003,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.322,070957.40,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.902,1159426.544,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.003,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.377,070957.60,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.901,1159426.543,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.006,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.422,070957.60,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.900,1159426.543,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.006,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.476,070957.60,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.900,1159426.543,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.006,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.522,070957.60,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.899,1159426.542,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.006,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.576,070957.60,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.899,1159426.542,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.006,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.622,070957.80,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.899,1159426.542,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.008,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.676,070957.80,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.899,1159426.542,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.008,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.730,070957.80,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.899,1159426.542,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.008,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
0.776,070957.80,10.48525100,76.44418800,10.48525100,76.44418800,658051.899,1159426.542,108.30,658051.899,1159426.542,109.7,1,658051.450,1159428.017,10.48526117,76.44418500,0.366,-0.008,0.0,0.0,0.0,0.0,0,0,RTK FLOAT
