Time_Sec,UTC,Latitude,Longitude,Smoothed_Latitude,Smoothed_Longitude,UTM_X,UTM_Y,UTM_Z,Smoothed_UTM_X,Smoothed_UTM_Y,Yaw_Deg,Target_WP_Index,Target_WP_X,Target_WP_Y,Target_Latitude,Target_Longitude,Command_V,Command_W,Left_RPM,Right_RPM,Actual_Left_RPM,Actual_Right_RPM,Left_DAC,Right_DAC,RTK_Fix_Status
0.650,094236.20,10.48525200,76.44418900,10.48525200,76.44418900,658051.522,1159427.013,107.90,658051.522,1159427.013,123.5,1,635698.433,1193167.705,10.79120000,76.24120462,0.366,0.000,10.0,10.0,0.0,0.0,450,450,RTK FIXED
0.683,094236.20,10.48525200,76.44418900,10.48525200,76.44418900,658051.522,1159427.013,107.90,658051.522,1159427.013,123.5,1,635698.433,1193167.705,10.79120000,76.24120462,0.366,0.000,10.0,10.0,0.0,0.0,900,900,RTK FIXED
0.738,094236.20,10.48525200,76.44418900,10.48525200,76.44418900,658051.522,1159427.013,107.90,658051.522,1159427.013,123.5,1,635698.433,1193167.705,10.79120000,76.24120462,0.366,0.000,10.0,10.0,0.0,0.0,1350,1350,RTK FIXED
0.784,094236.20,10.48525200,76.44418900,10.48525200,76.44418900,658051.522,1159427.013,107.90,658051.522,1159427.013,123.5,1,635698.433,1193167.705,10.79120000,76.24120462,0.366,0.000,10.0,10.0,0.0,0.0,1800,1800,RTK FIXED
0.838,094236.40,10.48525200,76.44418900,10.48525200,76.44418900,658052.088,1159426.691,107.90,658051.749,1159426.884,77.6,1,635698.433,1193167.705,10.79120000,76.24120462,0.332,0.218,6.7,10.0,0.0,0.0,1372,2047,RTK FIXED
0.884,094236.40,10.48525200,76.44418900,10.48525200,76.44418900,658052.088,1159426.691,107.90,658051.885,1159426.807,77.6,1,635698.433,1193167.705,10.79120000,76.24120462,0.332,0.218,6.7,10.0,0.0,0.0,1372,2047,RTK FIXED
0.938,094236.40,10.48525200,76.44418900,10.48525200,76.44418900,658052.088,1159426.691,107.90,658051.966,1159426.761,77.6,1,635698.433,1193167.705,10.79120000,76.24120462,0.332,0.218,6.7,10.0,0.0,0.0,1372,2047,RTK FIXED
0.984,094236.40,10.48525200,76.44418900,10.48525200,76.44418900,658052.088,1159426.691,107.90,658052.015,1159426.733,77.6,1,635698.433,1193167.705,10.79120000,76.24120462,0.332,0.218,6.7,10.0,0.0,0.0,1372,2047,RTK FIXED
1.038,094236.60,10.48525200,76.44418900,10.48525200,76.44418900,658051.803,1159426.646,107.90,658051.930,1159426.698,31.1,1,635698.433,1193167.705,10.79120000,76.24120462,0.332,0.218,6.7,10.0,-0.5,0.9,1372,2047,RTK FIXED
1.083,094236.60,10.48525200,76.44418900,10.48525200,76.44418900,658051.803,1159426.646,107.90,658051.879,1159426.677,31.1,1,635698.433,1193167.705,10.79120000,76.24120462,0.332,0.218,6.7,10.0,0.6,2.8,1372,2047,RTK FIXED
1.138,094236.60,10.48525200,76.44418900,10.48525200,76.44418900,658051.803,1159426.646,107.90,658051.849,1159426.665,31.1,1,635698.433,1193167.705,10.79120000,76.24120462,0.332,0.218,6.7,10.0,-0.5,2.3,1372,2047,RTK FIXED
1.191,094236.60,10.48525200,76.44418900,10.48525200,76.44418900,658051.803,1159426.646,107.90,658051.830,1159426.657,31.1,1,635698.433,1193167.705,10.79120000,76.24120462,0.332,0.218,6.7,10.0,0.5,2.3,1372,2047,RTK FIXED
1.238,094236.80,10.48525200,76.44418900,10.48525200,76.44418900,658051.570,1159426.822,107.90,658051.726,1159426.723,73.0,1,635698.433,1193167.705,10.79120000,76.24120462,0.332,0.218,6.7,10.0,0.0,3.7,1372,2047,RTK FIXED
1.291,094236.80,10.48525200,76.44418900,10.48525200,76.44418900,658051.570,1159426.822,107.90,658051.664,1159426.763,73.0,1,635698.433,1193167.705,10.79120000,76.24120462,0.332,0.218,6.7,10.0,0.0,3.8,1372,2047,RTK FIXED
1.337,094236.80,10.48525200,76.44418900,10.48525200,76.44418900,658051.570,1159426.822,107.90,658051.627,1159426.787,73.0,1,635698.433,1193167.705,10.79120000,76.24120462,0.332,0.218,6.7,10.0,0.0,3.8,1372,2047,RTK FIXED
