Time_Sec,UTC,Latitude,Longitude,Smoothed_Latitude,Smoothed_Longitude,UTM_X,UTM_Y,UTM_Z,Smoothed_UTM_X,Smoothed_UTM_Y,Yaw_Deg,Target_WP_Index,Target_WP_X,Target_WP_Y,Target_Latitude,Target_Longitude,Command_V,Command_W,Left_RPM,Right_RPM,Actual_Left_RPM,Actual_Right_RPM,Left_DAC,Right_DAC,RTK_Fix_Status
0.025,054617.40,10.48525200,76.44418700,10.48525200,76.44418700,658051.853,1159426.680,108.00,658051.853,1159426.680,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.074,054617.40,10.48525200,76.44418700,10.48525200,76.44418700,658051.853,1159426.680,108.00,658051.853,1159426.680,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.120,054617.40,10.48525200,76.44418700,10.48525200,76.44418700,658051.853,1159426.680,108.00,658051.853,1159426.680,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.174,054617.40,10.48525200,76.44418700,10.48525200,76.44418700,658051.853,1159426.680,108.00,658051.853,1159426.680,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.220,054617.60,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.848,1159426.677,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.274,054617.60,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.844,1159426.676,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.320,054617.60,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.842,1159426.675,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.374,054617.60,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.841,1159426.674,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.428,054617.80,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.840,1159426.674,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.474,054617.80,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.840,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.528,054617.80,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.574,054617.80,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.628,054618.00,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.674,054618.00,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.729,054618.20,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.774,054618.20,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.828,054618.20,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.882,054618.20,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.929,054618.40,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
0.982,054618.40,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
1.028,054618.40,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
1.082,054618.40,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
1.128,054618.40,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
1.182,054618.40,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
1.229,054618.60,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
1.282,054618.60,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
1.328,054618.60,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
1.382,054618.60,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
1.429,054618.80,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
1.483,054618.80,10.48525200,76.44418700,10.48525200,76.44418700,658051.839,1159426.673,108.00,658051.839,1159426.673,118.1,1,658051.140,1159428.015,10.48526117,76.44418217,0.366,0.000,0.0,0.0,0.0,0.0,0,0,RTK FIXED
