Index,Smoothed_UTM_X,Smoothed_UTM_Y,Latitude,Longitude,Calculated_Yaw_Deg,Distance,Speed
0,658082.604,1159532.771,10.48620700,76.44447400,97.0,0.00,0.15
1,658082.483,1159533.766,10.48621600,76.44447293,97.0,1.00,0.15
2,658082.362,1159534.761,10.48622500,76.44447187,97.0,2.00,0.15
3,658082.240,1159535.756,10.48623400,76.44447080,97.0,3.01,0.15
4,658082.119,1159536.750,10.48624300,76.44446973,97.0,4.01,0.15
5,658081.998,1159537.745,10.48625200,76.44446867,97.0,5.01,0.15
6,658081.876,1159538.740,10.48626100,76.44446760,97.0,6.01,0.15
7,658081.755,1159539.735,10.48627000,76.44446653,97.0,7.02,0.15
8,658081.634,1159540.730,10.48627900,76.44446547,97.0,8.02,0.15
9,658081.512,1159541.725,10.48628800,76.44446440,97.0,9.02,0.15
10,658081.391,1159542.720,10.48629700,76.44446333,97.0,10.02,0.15
11,658081.270,1159543.714,10.48630600,76.44446227,97.0,11.02,0.15
12,658081.148,1159544.709,10.48631500,76.44446120,97.0,12.03,0.15
13,658081.027,1159545.704,10.48632400,76.44446013,97.0,13.03,0.15
14,658080.906,1159546.699,10.48633300,76.44445907,97.0,14.03,0.15
15,658080.784,1159547.694,10.48634200,76.44445800,193.4,15.03,0.15
16,658079.647,1159547.423,10.48633960,76.44444760,193.4,16.20,0.15
17,658078.510,1159547.153,10.48633720,76.44443720,193.4,17.37,0.15
18,658077.373,1159546.882,10.48633480,76.44442680,193.4,18.54,0.15
19,658076.236,1159546.611,10.48633240,76.44441640,193.4,19.71,0.15
20,658075.098,1159546.341,10.48633000,76.44440600,283.5,20.88,0.15
21,658075.345,1159545.315,10.48632071,76.44440821,283.5,21.93,0.15
22,658075.593,1159544.289,10.48631143,76.44441043,283.5,22.99,0.15
23,658075.840,1159543.263,10.48630214,76.44441264,283.5,24.04,0.15
24,658076.087,1159542.237,10.48629286,76.44441486,283.5,25.10,0.15
25,658076.334,1159541.211,10.48628357,76.44441707,283.5,26.15,0.15
26,658076.581,1159540.185,10.48627429,76.44441929,283.5,27.21,0.15
27,658076.828,1159539.159,10.48626500,76.44442150,283.5,28.26,0.15
28,658077.075,1159538.133,10.48625571,76.44442371,283.5,29.32,0.15
29,658077.322,1159537.108,10.48624643,76.44442593,283.5,30.38,0.15
30,658077.569,1159536.082,10.48623714,76.44442814,283.5,31.43,0.15
31,658077.816,1159535.056,10.48622786,76.44443036,283.5,32.49,0.15
32,658078.063,1159534.030,10.48621857,76.44443257,283.5,33.54,0.15
33,658078.311,1159533.004,10.48620929,76.44443479,283.5,34.60,0.15
34,658078.558,1159531.978,10.48620000,76.44443700,11.1,35.65,0.15
35,658079.569,1159532.176,10.48620175,76.44444625,11.1,36.68,0.15
36,658080.581,1159532.375,10.48620350,76.44445550,11.1,37.71,0.15
37,658081.593,1159532.573,10.48620525,76.44446475,11.1,38.74,0.15
38,658082.604,1159532.771,10.48620700,76.44447400,11.1,39.77,0.15
