Index,Smoothed_UTM_X,Smoothed_UTM_Y,Latitude,Longitude,Calculated_Yaw_Deg,Distance,Speed
0,635697.929,1193167.703,10.7912,76.2412,0.2,0.0,0.15
1,635698.433,1193167.705,10.7912,76.24120462,0.2,0.5,0.15
2,635698.938,1193167.707,10.7912,76.24120923,0.2,1.01,0.15
3,635699.443,1193167.709,10.7912,76.24121385,0.2,1.51,0.15
4,635699.947,1193167.711,10.7912,76.24121846,0.2,2.02,0.15
5,635700.452,1193167.713,10.7912,76.24122308,0.2,2.52,0.15
6,635700.957,1193167.715,10.7912,76.24122769,0.2,3.03,0.15
7,635701.461,1193167.717,10.7912,76.24123231,0.2,3.53,0.15
8,635701.966,1193167.719,10.7912,76.24123692,0.2,4.04,0.15
9,635702.471,1193167.721,10.7912,76.24124154,0.2,4.54,0.15
10,635702.975,1193167.723,10.7912,76.24124615,0.2,5.05,0.15
11,635703.48,1193167.726,10.7912,76.24125077,0.2,5.55,0.15
12,635703.985,1193167.728,10.7912,76.24125538,0.2,6.06,0.15
13,635704.489,1193167.73,10.7912,76.24126,0.2,6.56,0.15
14,635704.994,1193167.732,10.7912,76.24126462,0.2,7.07,0.15
15,635705.499,1193167.734,10.7912,76.24126923,0.2,7.57,0.15
16,635706.003,1193167.736,10.7912,76.24127385,0.2,8.07,0.15
17,635706.508,1193167.738,10.7912,76.24127846,0.2,8.58,0.15
18,635707.013,1193167.74,10.7912,76.24128308,0.2,9.08,0.15
19,635707.517,1193167.742,10.7912,76.24128769,0.2,9.59,0.15
20,635708.022,1193167.744,10.7912,76.24129231,0.2,10.09,0.15
21,635708.527,1193167.746,10.7912,76.24129692,0.2,10.6,0.15
22,635709.031,1193167.748,10.7912,76.24130154,0.2,11.1,0.15
23,635709.536,1193167.75,10.7912,76.24130615,0.2,11.61,0.15
24,635710.041,1193167.752,10.7912,76.24131077,0.2,12.11,0.15
25,635710.545,1193167.754,10.7912,76.24131538,0.2,12.62,0.15
26,635711.05,1193167.756,10.7912,76.24132,0.2,13.12,0.15
27,635711.555,1193167.758,10.7912,76.24132462,0.2,13.63,0.15
28,635712.059,1193167.76,10.7912,76.24132923,0.2,14.13,0.15
29,635712.564,1193167.762,10.7912,76.24133385,0.2,14.64,0.15
30,635713.068,1193167.764,10.7912,76.24133846,0.2,15.14,0.15
31,635713.573,1193167.766,10.7912,76.24134308,0.2,15.64,0.15
32,635714.078,1193167.769,10.7912,76.24134769,0.2,16.15,0.15
33,635714.582,1193167.771,10.7912,76.24135231,0.2,16.65,0.15
34,635715.087,1193167.773,10.7912,76.24135692,0.2,17.16,0.15
35,635715.592,1193167.775,10.7912,76.24136154,0.2,17.66,0.15
36,635716.096,1193167.777,10.7912,76.24136615,0.2,18.17,0.15
37,635716.601,1193167.779,10.7912,76.24137077,0.2,18.67,0.15
38,635717.106,1193167.781,10.7912,76.24137538,0.2,19.18,0.15
39,635717.61,1193167.783,10.7912,76.24138,0.2,19.68,0.15
